k_sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
28,1016,103,1886,164,221,-1378,-413,103,793,2442,-147,704,-1040,-26,191,-219,324,148,-168,-846,-613,128,-163,-207,331,-33,-264,-1430,-103,391,-189,43,40,591,840,-32,65,-764,1114,342,-967,-2063,-174,427,552,-161,-207,32,1829,283,-252,-59,2175,-1582,53,-426,827,-1232,-1175,-212,-172,-169,-819,199
29,968,23,-1152,102,-98,-834,-72,315,-686,-340,-371,482,-1248,-232,-300,51,953,472,-9,-215,-1594,-212,30,343,1271,-93,455,-812,64,620,-265,-1299,-58,-288,-28,-958,-182,-38,1014,-306,-33,-2195,-11,-476,1002,-22,-520,-90,-2225,166,-37,223,848,172,-95,1232,92,84,1111,67,-259,-42,1006,15
30,371,-279,198,-258,12,-432,328,-490,420,308,-335,92,-455,-28,-99,-141,116,-1318,188,-8,737,93,-344,-190,347,-41,609,-1775,1,-851,47,498,-70,1584,280,968,-649,786,-137,-297,189,-738,-179,380,462,-58,-107,-74,168,-121,-194,-204,1042,-492,43,-1542,-299,284,-2233,-182,-188,327,387,-133
31,-293,116,1365,-32,-50,-696,127,533,694,-990,-47,1276,278,46,280,-431,26,912,102,-285,-1164,-520,-218,-104,485,-74,-254,89,126,-552,-419,-196,201,1141,-314,2,95,-1114,992,237,-408,-1517,-339,204,14,73,34,-204,644,-25,-84,168,-437,542,123,26,-396,116,401,-372,-81,283,-2086,208
32,-357,-225,223,-112,-203,-368,-93,-556,-221,352,205,1236,1217,84,243,382,-215,1802,279,-811,-839,632,24,386,1648,-111,103,330,429,-501,191,-572,551,148,766,-428,137,-1020,615,477,266,18,-568,-116,304,285,151,219,-1659,310,-191,73,1323,1310,-358,546,-1042,-1342,1720,528,-81,145,-17,245
33,-331,170,-375,18,-76,514,-30,402,-198,976,-329,-2608,-199,-124,-180,-117,231,916,-49,-399,160,-17,109,-17,-622,122,231,-369,111,290,-333,464,-140,1690,-6,730,-210,628,-2077,171,-43,2201,-312,974,-912,272,135,43,-204,-98,23,-71,-94,892,86,-1296,1108,236,943,741,39,-94,25,270
34,-377,-53,962,49,237,512,248,-164,-297,-824,472,-936,1323,4,-60,-261,-19,-2832,-92,70,-21,-1046,17,84,-407,26,370,2660,-65,549,169,128,-324,-996,-348,-702,680,474,-488,52,173,-451,-693,563,2292,-52,238,-130,-236,-54,248,36,662,438,63,-204,-499,1382,2586,-570,318,23,-665,98
35,-380,-320,301,56,31,-2072,-70,390,111,280,-88,14,844,124,7,65,257,1236,-49,1071,12,221,-91,3,1420,60,-253,-224,-133,-578,-434,733,652,-995,2222,434,-354,124,-648,263,-33,1196,-165,63,-2696,27,476,277,2607,45,-478,169,753,-1154,-145,-926,-607,726,-1236,-1403,-42,-114,702,-33
36,-637,-212,-2377,47,206,1072,-279,-286,-1130,-726,-243,-976,182,105,34,366,-167,840,-24,408,995,-624,296,616,402,10,-264,-457,-68,751,-356,-829,-185,-795,882,20,53,-614,718,673,-718,106,-218,705,-814,-79,748,-259,528,337,491,-13,266,-180,-130,-1348,-304,788,1160,-377,271,-16,51,109
37,-36,529,2856,85,135,402,317,-667,-266,-756,-619,-472,162,-49,-7,-676,231,112,369,-774,975,-425,73,-118,824,-122,110,547,-285,633,471,-1108,-309,1137,-486,52,213,-1972,-1209,-172,-1165,-974,-947,-170,1330,168,-70,-305,212,298,151,28,-1576,-898,119,-216,-1665,-1392,111,423,-109,215,-3076,-53
38,431,-277,-1443,-189,-33,596,-923,162,459,948,192,1378,34,139,319,374,-594,44,104,377,-25,473,90,-274,671,3,-475,3031,202,50,-300,577,355,562,-718,-1498,-238,-1696,2739,-204,-174,1753,-161,-270,-776,-23,-420,11,-256,-65,-378,13,806,1780,-262,430,790,-428,3020,739,-112,51,691,-122
39,-51,-24,-1286,-149,-293,-616,435,247,1169,-1512,113,-294,-1104,-103,19,-124,197,214,114,385,343,772,-134,-263,-1485,-97,507,-529,-1,365,121,289,-10,-509,-200,-56,-239,2812,705,-819,798,569,15,-680,-1696,-21,-656,-81,-1669,-292,-9,-42,357,-276,190,750,196,562,-1289,-339,-122,267,205,-257
40,239,62,-339,117,117,1830,283,81,22,654,128,-88,-948,121,-21,-120,154,-1136,208,1,783,432,-82,196,-377,54,107,-1763,-121,-574,267,291,-1,1090,1268,-546,377,1664,-997,65,1910,-1284,307,595,940,-17,110,-121,-2628,-347,-18,251,2347,234,-451,980,-592,-466,521,880,154,-321,720,-41
41,605,-125,-2273,-222,-54,-196,-616,316,-715,1114,-228,-1690,531,-9,-327,205,123,-524,-150,-759,-1055,10,155,41,625,-22,-187,-1779,5,-426,-258,-894,-283,911,-894,1836,-535,-942,578,-309,-710,863,-401,332,424,28,-110,60,2673,473,192,-172,732,704,-106,490,219,-614,-2204,84,14,-38,561,15
42,74,345,1453,135,-53,-114,253,509,-640,440,49,340,482,147,-253,-229,-18,-182,-71,-664,-630,555,-327,290,2027,-138,-200,231,154,980,201,37,314,1213,212,840,345,-392,-968,-126,160,-1471,-780,-234,412,129,-144,-98,-427,-66,2,121,696,968,49,958,-29,-1186,1374,-166,58,-214,-1079,-17
43,-758,-203,-1641,271,-77,364,220,-516,505,-216,46,902,213,242,235,-181,-65,-1096,-116,829,-264,-225,479,-153,-1290,69,-19,-1528,-65,389,-123,706,-607,87,454,-1672,-68,332,-845,-152,-229,-79,34,-382,-1776,141,246,-120,-781,-82,193,217,126,-540,52,6,-694,-286,739,-724,201,48,-1001,-3
44,-773,184,-725,-153,-90,-154,-210,411,-177,-1470,-152,414,1221,5,118,-154,185,936,-104,20,-773,-207,-65,-200,-191,-8,-99,-583,5,602,-177,-564,57,-802,1528,-642,-305,-388,-350,179,192,-670,-302,-400,-484,11,-70,20,-881,51,-154,71,-566,-698,-64,320,369,-580,-1599,87,-28,222,331,91
45,-285,-67,52,-322,95,-290,-35,261,118,-854,7,-328,-1337,38,194,235,-606,-938,-48,285,-954,-58,-3,7,-1549,179,-286,2838,13,39,-388,159,-27,201,-2246,-148,-129,-1118,385,-217,-518,230,317,-457,-802,-35,-451,-169,-1908,-188,44,-14,-1195,1274,-101,-12,1101,1098,1081,-11,127,187,-451,-179
46,327,-51,221,225,118,-92,23,-403,-135,-1144,164,458,-156,-16,172,-18,-2,-86,374,110,1345,-859,-100,619,189,-5,123,1527,63,488,13,66,-226,-525,114,-736,343,462,898,-241,2093,-209,381,-819,-84,29,-58,-338,-2568,-397,56,311,-566,86,151,424,-640,484,2622,380,-78,196,1577,-20
47,-3,18,-2581,-322,101,1044,-106,-315,-847,-284,-193,432,1681,-180,14,84,420,-626,287,-388,-47,-926,127,185,213,-9,-41,-304,128,-1058,-608,318,356,-767,1094,-922,-2,-242,-1177,84,532,1444,-366,336,-698,200,-261,101,31,317,-24,-112,-449,2352,-86,390,-888,-494,227,353,221,55,-606,317
48,498,244,136,-123,71,122,-113,87,-373,108,-13,-266,-105,-33,-276,-293,615,752,209,-678,308,-14,325,306,-739,14,287,-14,-206,30,132,-404,-46,1603,-728,1338,-122,-528,-285,-611,-110,1411,259,30,-384,112,-138,-96,-391,-247,189,178,-1280,910,29,-570,-829,-1088,-1571,1005,13,221,-2404,-122
49,-138,254,-1176,-6,-82,734,549,533,195,-1128,91,184,-664,-116,190,-380,-174,-58,77,653,-724,154,-134,247,817,-137,-7,1347,21,1468,-189,-110,-349,-381,884,10,446,1906,-1199,-172,178,-2319,-156,-792,1734,125,-275,58,-963,187,-12,-200,1974,86,-88,826,631,-410,-1313,135,159,-112,-445,296
