q_sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
53,179,155,-159,-287,44,-310,-97,362,348,962,56,588,112,27,-9,207,-46,1578,-9,-932,99,-133,73,-160,-1678,250,525,-1932,-89,-1393,-342,-284,-365,930,-768,748,-465,406,1023,-278,667,2073,515,-550,-740,6,-210,-129,-765,-301,-123,-202,-1376,-502,336,-428,617,-796,-40,1545,-64,347,78,-55
54,-396,-63,384,36,155,-1636,538,105,-469,-754,429,652,1196,32,-82,14,65,-684,-141,-19,703,530,-267,-112,1611,135,-416,2027,-12,1269,536,-691,-851,-767,-94,410,133,914,489,436,-485,1569,69,-186,-426,51,-119,7,-1281,-123,101,35,-84,-530,-59,490,-1041,1208,-177,-425,42,61,-134,101
55,657,-514,-630,-6,-101,-748,37,-282,347,-1170,174,-896,440,7,197,34,112,750,41,581,637,208,7,50,-1593,-142,-136,577,-179,-229,290,724,419,-399,1616,1548,176,460,588,360,162,-1139,-66,-473,-670,-209,362,-13,410,107,-367,278,1344,-242,-565,-182,-994,1110,-1819,-453,-63,75,1449,-137
56,-461,229,1668,64,-30,868,394,381,-2,340,52,402,-227,4,-32,-409,56,268,63,41,106,325,74,-195,2314,-196,-165,-106,-249,656,-38,255,59,-55,-652,1476,-496,-1966,166,-642,-330,-58,-544,-610,-1504,148,-353,-71,-444,206,98,-46,-880,1690,-399,-1076,-1436,436,-2741,692,-247,-203,-1522,-159
57,798,83,-1126,316,-38,-1232,35,185,626,-60,194,-290,53,-25,-35,-686,-369,-1022,191,-350,23,-635,-25,261,868,-71,316,-1171,-252,809,-412,-391,-79,-50,-270,674,411,2170,1298,-409,-324,1365,394,259,-100,-11,-349,-266,1520,-159,-45,140,-686,-1608,611,1382,-985,-408,-1502,-1146,-188,27,-1951,-112
58,-6,32,2602,-48,-97,-646,-346,852,73,-276,356,418,2506,53,-199,285,-95,700,98,-147,472,14,31,-93,-636,162,-118,1316,81,-209,-95,511,277,151,-64,-762,-210,44,107,191,187,4343,533,-654,-498,-108,33,125,-3039,-125,91,-139,-83,1272,-148,-630,468,1708,183,1236,-144,-51,1545,-45
59,389,-184,1634,-73,-39,-572,355,684,-252,190,-172,1352,782,28,17,192,-496,196,191,188,437,15,-283,292,926,-61,46,541,150,790,438,-157,354,-8,20,332,96,-1414,681,-140,658,1961,157,-680,-266,47,14,242,766,27,49,-17,923,1906,-245,-140,76,-612,-593,-1153,-393,273,-615,33
60,688,-208,-3309,-70,102,676,-408,767,-275,294,-323,-656,-682,75,-65,244,-282,-430,224,494,44,456,-84,-210,686,164,41,774,-32,-716,-187,200,-322,1813,-644,264,233,-840,1318,-499,606,265,577,172,-568,-5,55,-24,-357,28,-139,352,1958,632,-299,-276,-285,846,-353,-229,-151,106,1976,-101
61,26,-163,-76,531,-56,1338,-381,321,-373,1730,-258,584,456,147,-89,96,-562,-848,-203,698,-171,1291,105,-157,425,-44,75,56,212,672,-31,155,101,-462,302,36,795,116,-559,1002,-797,-1655,-168,-1053,-1118,-188,171,-117,1642,-121,-167,342,-296,-382,83,1314,-282,-360,545,-624,-29,-232,3276,9
62,-890,-55,95,72,1,-738,265,97,-598,330,198,-116,-488,49,-67,346,42,-400,-150,385,-162,247,65,-118,666,9,119,-431,59,1488,77,-1041,-407,716,-2248,110,-198,1374,-614,148,-1377,1468,434,474,-988,37,281,229,-355,5,386,-273,-1415,-796,-39,-336,863,-684,-1604,578,108,132,-442,21
63,-177,38,2683,-92,14,-630,118,-407,-473,1734,-74,-792,526,-19,199,-181,336,-862,190,-751,-827,250,186,255,-137,30,576,-548,69,-294,-226,-312,-13,-855,34,1182,-21,676,91,448,-402,-834,-275,306,816,102,423,-159,1284,-73,280,191,-1396,-452,-16,818,-242,-3306,-3211,-1604,197,5,-2724,216
,
